"Name","POS","AGE","YRS","DOLLARS","YEAR","G","R","HR","RBI","BB","SB","HITS","AS"
"Ty Wigginton","3B","34","2","5000000","2012","401","155","48","166","125","9","315","1"
"Brendan Ryan","SS","30","2","5000000","2013","364","123","10","92","101","28","250","0"
"Skip Schumaker","OF","33","2","5000000","2013","334","102","5","96","82","3","263","0"
"Stephen Drew","SS","30","1","5000000","2014","285","113","27","121","118","8","220","0"
"David Ross","C","36","2","5000000","2014","140","45","20","48","45","2","95","0"
"Austin Jackson","OF","29","1","5000000","2015","413","226","25","144","128","45","434","0"
"Brayan Pena","C","34","2","5000000","2015","291","59","9","66","55","4","247","0"
"Colby Rasmus","OF","30","1","5000000","2016","340","150","58","155","119","10","257","0"
"Curtis Granderson","OF","36","1","5000000","2017","453","260","82","193","236","21","374","0"
"Daniel Descalso","3B","32","2","5000000","2018","366","139","31","146","146","7","229","0"
"Freddy Galvis","SS","29","1","5000000","2018","482","194","45","195","115","39","445","0"
"Todd Frazier","3B","34","1","5000000","2019","393","191","66","202","171","14","300","0"
"Justin Smoak","1B","33","1","5000000","2019","424","206","85","228","235","0","359","1"
"Steve Pearce","1B","32","1","4750000","2015","236","107","40","102","78","7","194","0"
"Norichika Aoki","OF","32","1","4700000","2014","435","224","19","130","141","67","461","0"
"Juan Rivera","OF","32","1","4500000","2011","393","171","51","214","112","7","377","0"
"David Freese","1B","35","1","4500000","2018","380","145","34","158","127","0","313","0"
"Eric Sogard","3B","33","1","4500000","2019","254","103","16","60","95","14","196","0"
"Matt Diaz","OF","31","2","4250000","2010","244","92","22","103","51","19","205","0"
"Hideki Matsui","OF","35","1","4250000","2010","379","160","58","219","169","0","356","0"
"Alex Gonzalez","SS","34","1","4250000","2011","415","175","46","185","73","5","378","0"
"Chris Iannetta","C","32","1","4250000","2015","311","109","28","116","163","3","201","0"
"Wilmer Flores","1B","27","1","4250000","2018","333","123","45","152","69","2","276","0"
"Alex Avila","C","33","1","4250000","2019","250","76","30","93","135","1","148","0"
"Ramon Santiago","SS","31","2","4200000","2011","288","96","15","87","64","3","221","0"
"Austin Romine","C","31","1","4150000","2019","223","78","20","98","43","2","173","0"
"Wily Mo Pena","OF","29","2","4050000","2011","39","15","7","15","5","0","23","0"
"Russell Martin","C","27","1","4000000","2010","395","195","25","148","207","35","363","1"
"Rod Barajas","C","35","1","4000000","2011","312","111","52","165","55","1","242","0"
"Jack Hannahan","3B","31","2","4000000","2012","196","61","12","69","65","2","150","0"
"Kevin Youkilis","3B","33","1","4000000","2013","270","152","38","148","127","3","237","1"
"Emilio Bonifacio","2B","28","1","4000000","2014","306","131","7","66","81","84","267","0"
"Jonny Gomes","OF","33","1","4000000","2014","320","123","37","136","122","4","214","0"
"Dioner Navarro","C","32","1","4000000","2015","280","88","30","123","72","3","246","0"
"Alexei Ramirez","SS","34","1","4000000","2015","469","204","31","184","81","68","496","1"
"Juan Uribe","3B","36","1","4000000","2015","350","123","35","147","79","7","319","0"
"Jeff Mathis","C","33","2","4000000","2016","131","33","6","39","26","0","80","0"
"Ben Revere","OF","28","1","4000000","2016","402","199","6","97","63","94","441","0"
"Matt Adams","1B","29","1","4000000","2017","305","97","41","143","58","1","209","0"
"Carlos Gomez","OF","32","1","4000000","2017","338","157","42","160","96","48","300","0"
"Eduardo Nunez","2B","30","1","4000000","2017","326","156","32","145","59","72","358","1"
"Neil Walker","1B","32","1","4000000","2017","375","185","53","175","141","7","364","0"
"Jon Jay","OF","33","1","4000000","2018","374","188","7","100","89","12","354","0"
"Tyler Flowers","C","34","1","4000000","2019","266","111","31","113","97","0","208","0"
"Alex Gordon","OF","36","1","4000000","2019","437","185","35","175","146","24","371","0"
"Kevin Pillar","OF","31","1","4000000","2019","454","220","52","189","69","43","437","0"
"Travis Shaw","3B","29","1","4000000","2019","382","179","70","203","174","15","303","0"
"Eric Thames","1B","33","1","4000000","2019","380","190","72","161","155","14","268","0"
"Willie Bloomquist","SS","33","2","3800000","2011","299","127","11","72","59","53","258","0"
"Drew Butera","C","33","2","3800000","2016","147","43","8","35","31","0","88","0"
"Cliff Pennington","SS","31","2","3750000","2015","263","70","6","49","73","11","154","0"
"Daniel Descalso","3B","27","2","3600000","2014","350","104","9","79","79","13","202","0"
"Eric Chavez","3B","35","1","3500000","2013","242","80","27","107","63","1","184","0"
"Rafael Furcal","2B","35","1","3500000","2013","207","113","13","77","72","21","203","1"
"Stephen Drew","SS","33","1","3500000","2016","277","85","32","91","80","1","159","0"
"Lucas Duda","1B","32","1","3500000","2017","308","137","64","160","141","0","242","0"
"Asdrubal Cabrera","3B","33","1","3500000","2018","422","199","60","196","129","8","423","0"
"Avisail Garcia","OF","27","1","3500000","2018","349","181","49","180","87","12","356","1"
"Jonathan Lucroy","C","32","1","3350000","2018","390","153","34","172","122","6","355","1"
"Rod Barajas","C","34","1","3250000","2010","315","126","47","167","50","1","259","0"
"Bill Hall","3B","30","1","3250000","2010","348","126","41","137","98","16","243","0"
"Wilson Betemit","SS","29","2","3250000","2011","200","78","21","92","72","4","183","0"
"Cameron Maybin","OF","30","1","3250000","2017","343","193","24","137","132","71","335","0"
"Brock Holt","3B","31","1","3250000","2019","257","99","10","84","84","10","194","0"
"Geovany Soto","C","30","1","3050000","2013","271","111","37","115","95","2","200","0"
"Brad Hawpe","1B","30","1","3000000","2010","385","182","57","215","197","5","354","1"
"Ramon Hernandez","C","33","1","3000000","2010","311","104","27","150","94","1","286","0"
"Jim Thome","1B","39","1","3000000","2010","381","196","82","226","220","1","291","0"
"Greg Dobbs","1B","32","2","3000000","2011","311","66","18","84","45","2","183","0"
"Ryan Doumit","OF","29","1","3000000","2011","274","90","31","113","77","5","238","0"
"Casey Kotchman","1B","27","1","3000000","2011","382","118","26","147","122","3","346","0"
"John McDonald","3B","36","2","3000000","2011","208","66","12","58","19","4","129","0"
"Nick Punto","2B","33","3","3000000","2011","267","101","3","78","114","23","179","0"
"Cody Ross","OF","30","1","3000000","2011","420","198","52","207","120","19","389","0"
"Eric Chavez","3B","34","1","3000000","2012","199","62","19","73","52","0","146","0"
"Kelly Johnson","2B","30","1","3000000","2013","405","177","53","165","157","37","321","0"
"Nick Punto","2B","35","1","3000000","2013","250","75","4","51","83","10","147","0"
"Alberto Callaspo","2B","30","1","3000000","2014","397","144","24","150","149","4","322","0"
"Stephen Drew","SS","32","1","3000000","2015","333","118","37","137","118","7","233","0"
"David Freese","1B","32","1","3000000","2015","392","159","33","171","116","3","350","0"
"A.J. Pierzynski","C","39","1","3000000","2015","347","111","31","156","44","1","344","0"
"Andres Blanco","3B","32","1","3000000","2016","210","62","12","49","34","3","129","0"
"Chris Carter","1B","30","1","3000000","2016","430","202","102","246","189","9","315","0"
"Matt Adams","1B","30","1","3000000","2018","365","125","57","176","75","0","240","0"
"Adam Jones","OF","33","1","3000000","2018","442","222","70","219","90","11","497","0"
"Jung Ho Kang","3B","31","1","3000000","2018","103","45","21","62","36","3","83","0"
"Chris Owings","SS","27","1","3000000","2018","320","127","21","122","61","44","276","0"
"Maikel Franco","3B","27","1","3000000","2019","408","162","63","200","106","1","340","0"
"Jose Iglesias","SS","30","1","3000000","2019","399","161","22","161","60","28","379","0"
"Mitch Moreland","1B","34","1","3000000","2019","363","178","56","205","141","3","299","1"
"Hunter Pence","OF","36","1","3000000","2019","313","127","35","150","77","13","266","1"
"Jose Peraza","2B","25","1","3000000","2019","436","172","25","128","66","53","398","0"
"Stephen Vogt","C","35","1","3000000","2019","196","55","22","80","41","3","132","0"
"Carlos Pena","1B","33","1","2900000","2012","444","208","75","225","275","9","304","0"
"Geovany Soto","C","33","1","2800000","2015","145","48","19","54","47","1","101","0"
"Rene Rivera","C","34","1","2800000","2017","232","51","21","87","41","0","149","0"
"Raul Ibanez","OF","39","1","2750000","2012","427","190","55","229","136","9","377","0"
"Placido Polanco","3B","36","1","2750000","2012","343","150","13","121","92","8","373","1"
"Geovany Soto","C","29","1","2750000","2012","321","138","45","146","137","1","250","0"
"Raul Ibanez","OF","40","1","2750000","2013","395","169","68","211","110","5","333","0"
"Kurt Suzuki","C","29","1","2750000","2013","338","115","25","119","80","6","271","0"
"Lonnie Chisenhall","OF","30","1","2750000","2018","230","88","21","119","56","9","205","0"
"Geoff Blum","3B","36","2","2700000","2010","322","92","26","124","69","1","226","0"
"Chris Denorfia","OF","33","1","2600000","2014","380","159","21","104","94","33","310","0"
"Mark Reynolds","1B","32","1","2600000","2015","396","137","56","160","142","10","260","0"
"Franklin Gutierrez","OF","33","1","2600000","2016","155","60","29","74","43","1","111","0"
"Jack Cust","OF","31","1","2500000","2010","409","215","71","199","272","6","329","0"
"Edwin Encarnacion","1B","27","1","2500000","2010","326","157","60","158","127","4","274","0"
"Laynce Nix","OF","30","2","2500000","2011","323","96","35","108","60","2","203","0"
"Paul Konerko","1B","36","1","2500000","2013","419","176","69","234","178","1","436","2"
"Corey Hart","1B","31","1","2500000","2014","217","108","36","104","60","7","199","0"
"Chris Young","OF","30","1","2500000","2014","309","122","37","119","104","26","214","0"
"Alex Avila","C","29","1","2500000","2015","283","104","26","107","145","0","194","0"
"Sean Rodriguez","3B","30","1","2500000","2015","303","76","21","81","32","5","153","0"
"A.J. Ellis","C","35","1","2500000","2016","216","56","12","68","104","2","134","0"
"Logan Morrison","1B","29","1","2500000","2016","344","133","42","135","108","17","275","0"
"Alcides Escobar","SS","31","1","2500000","2017","472","204","16","156","68","38","473","1"
"Nick Hundley","C","34","1","2500000","2017","285","102","29","126","58","5","255","0"
"Justin Bour","1B","30","1","2500000","2018","339","136","60","193","158","3","279","0"
"Martin Maldonado","C","32","1","2500000","2018","329","103","31","103","66","1","221","0"
"James McCann","C","28","1","2500000","2018","326","101","33","136","75","1","259","0"
"Asdrubal Cabrera","3B","34","1","2500000","2019","413","203","55","225","148","7","393","0"
"Brayan Pena","C","31","2","2275000","2013","205","52","9","71","27","0","173","0"
"Delmon Young","OF","28","1","2250000","2014","337","111","36","142","50","2","313","0"
"Nate Schierholtz","OF","28","1","2225000","2012","337","96","18","79","64","14","210","0"
"Edgar Renteria","SS","34","1","2100000","2010","332","145","18","125","97","16","318","0"
"Miguel Cairo","1B","35","2","2000000","2010","215","70","5","53","35","9","125","0"
"Jerry Hairston Jr.","3B","33","1","2000000","2010","319","162","26","125","86","31","286","0"
"Andruw Jones","OF","32","1","2000000","2010","246","105","39","105","117","14","157","0"
"Melvin Mora","3B","38","1","2000000","2010","365","160","38","197","102","8","353","0"
"Manny Ramirez","OF","37","1","2000000","2010","346","202","65","226","204","4","364","1"
"Jason Varitek","C","37","1","2000000","2010","270","96","34","110","116","0","195","1"
"Yuniesky Betancourt","1B","29","1","2000000","2011","435","151","35","195","60","9","399","0"
"Casey Blake","3B","37","1","2000000","2011","347","172","39","169","137","4","313","0"
"Andruw Jones","OF","33","1","2000000","2011","251","111","49","124","119","14","171","0"
"James Loney","1B","27","1","2000000","2012","453","160","28","194","122","14","418","0"
"Nate McLouth","OF","30","1","2000000","2012","250","104","17","60","104","23","171","0"
"Ian Stewart","3B","26","1","2000000","2012","221","84","23","84","80","8","154","0"
"Andres Torres","OF","34","1","2000000","2012","367","181","23","117","150","58","299","0"
"Brian Roberts","2B","35","1","2000000","2013","133","53","11","63","43","10","114","0"
"A.J. Pierzynski","C","37","1","2000000","2014","369","141","49","184","53","1","355","0"
"Mark Reynolds","1B","30","1","2000000","2014","394","167","66","181","171","9","273","0"
"Ichiro Suzuki","OF","40","1","2000000","2014","433","176","17","112","69","64","416","0"
"Rickie Weeks","SS","31","1","2000000","2014","382","161","39","116","139","26","277","0"
"Mike Aviles","SS","34","1","2000000","2015","327","129","19","102","48","25","243","0"
"Kelly Johnson","2B","33","1","2000000","2015","323","108","37","126","87","11","225","0"
"Alex Avila","C","30","1","2000000","2016","240","84","22","71","139","0","155","0"
"Nick Hundley","C","33","1","2000000","2016","267","93","26","113","56","6","238","0"
"Chase Utley","2B","38","1","2000000","2016","399","190","33","169","125","16","367","1"
"Jose Reyes","SS","34","1","2000000","2017","319","177","30","135","99","57","323","0"
"Chase Utley","2B","39","2","2000000","2017","369","159","30","125","104","12","281","0"
"Chris Young","OF","34","1","2000000","2017","288","112","30","91","81","10","193","0"
"Robbie Grossman","OF","29","1","2000000","2018","347","161","25","130","182","5","295","0"
"Brian McCann","C","35","1","2000000","2018","289","125","45","143","111","2","228","0"
"Neil Walker","1B","33","1","2000000","2018","337","164","48","150","139","3","294","0"
"Francisco Cervelli","C","33","1","2000000","2019","233","85","20","100","96","3","182","0"
"Brad Miller","2B","30","1","2000000","2019","263","90","29","94","100","7","165","0"
"Matt Wieters","C","33","1","2000000","2019","263","82","29","109","80","2","187","0"
"J.P. Arencibia","C","27","1","1800000","2013","361","137","62","189","72","2","270","0"
"Xavier Nady","OF","31","1","1750000","2010","271","113","31","132","57","2","258","0"
"Nate McLouth","OF","29","1","1750000","2011","292","151","30","110","145","30","237","0"
"Reed Johnson","OF","35","1","1750000","2012","301","87","10","63","23","6","207","0"
"Leonys Martin","OF","29","1","1750000","2017","277","112","23","81","68","45","213","0"
"Tim Beckham","SS","29","1","1750000","2018","297","137","39","113","77","9","282","0"
"Chris Iannetta","C","33","1","1700000","2016","286","92","24","101","133","3","190","0"
"Nyjer Morgan","OF","31","1","1600000","2012","367","165","7","77","79","59","313","0"
"Juan Pierre","OF","34","1","1600000","2012","447","235","4","122","111","132","478","0"
"Jeff Keppinger","2B","30","1","1525000","2011","342","136","19","123","90","4","331","0"
"Rick Ankiel","OF","30","1","1500000","2010","310","146","42","133","94","9","244","0"
"Cesar Izturis","SS","30","1","1500000","2010","385","126","4","82","72","47","317","0"
"Endy Chavez","OF","33","1","1500000","2011","134","54","7","40","24","19","121","0"
"Kelly Shoppach","C","31","1","1500000","2012","216","63","24","66","55","1","121","0"
"Clint Barmes","SS","34","1","1500000","2014","288","71","13","75","43","1","193","0"
"Jeff Mathis","C","32","1","1500000","2015","163","35","9","53","43","0","92","0"
"Daniel Descalso","3B","30","1","1500000","2016","294","80","13","70","74","5","143","0"
"Adam Lind","OF","33","1","1500000","2016","370","158","46","185","120","0","328","0"
"Kurt Suzuki","C","33","1","1500000","2016","364","107","16","160","81","0","323","1"
"Cameron Maybin","OF","32","1","1500000","2019","323","143","25","95","119","52","243","0"
"Domingo Santana","OF","27","1","1500000","2019","355","172","56","174","143","24","316","0"
"Eric Hinske","OF","32","1","1450000","2010","351","128","39","136","107","11","212","0"
"Peter Bourjos","OF","30","1","1450000","2017","313","99","14","51","48","16","170","0"
"Craig Counsell","SS","39","1","1400000","2010","332","108","7","74","109","7","222","0"
"Chris Heisey","OF","32","1","1400000","2016","225","60","19","48","43","9","101","0"
"Kelly Shoppach","C","30","1","1350000","2011","228","73","28","79","72","0","128","0"
"Eric Hinske","OF","34","1","1350000","2012","331","71","23","92","73","0","153","0"
"Austin Kearns","OF","29","1","1300000","2010","276","115","20","98","113","7","208","0"
"Ronny Paulino","C","28","1","1300000","2010","209","63","14","82","61","2","172","0"
"Henry Blanco","C","38","1","1250000","2010","165","46","11","36","43","1","111","0"
"Melky Cabrera","OF","25","1","1250000","2010","406","158","25","147","114","26","353","0"
"Henry Blanco","C","39","1","1250000","2011","143","43","16","36","49","1","101","0"
"Mark Kotsay","OF","35","1","1250000","2011","273","64","15","85","68","7","193","0"
"Ryan Theriot","2B","31","1","1250000","2011","427","199","10","130","121","45","449","0"
"Jim Thome","1B","40","1","1250000","2011","325","135","63","186","175","0","239","0"
"Gordon Beckham","SS","29","1","1250000","2015","318","123","20","88","69","8","244","0"
"Adam Rosales","SS","33","1","1250000","2016","204","71","20","61","52","12","118","0"
"Erick Aybar","SS","34","1","1250000","2017","388","145","13","100","84","29","340","0"
"Dioner Navarro","C","28","1","1175000","2012","128","30","8","36","34","0","78","0"
"Reed Johnson","OF","34","1","1150000","2011","249","80","11","65","23","6","171","0"
"Wil Nieves","C","35","1","1125000","2013","121","25","3","30","15","0","90","0"
"Scott Hairston","OF","30","1","1100000","2011","294","104","34","124","67","18","207","0"
"Casey McGehee","3B","30","1","1100000","2013","261","82","22","108","74","1","191","0"
"Caleb Joseph","C","32","1","1100000","2018","207","66","11","45","27","2","146","0"
"Darwin Barney","2B","30","1","1050000","2015","243","77","12","68","54","5","168","0"
"Pat Burrell","OF","33","1","1000000","2010","399","169","67","214","216","2","319","0"
"Gerald Laird","C","30","1","1000000","2010","312","125","15","99","81","10","244","0"
"Dioner Navarro","C","26","1","1000000","2010","273","92","16","93","64","5","232","1"
"Marcus Thames","OF","32","1","1000000","2010","265","105","50","125","72","0","202","0"
"Kosuke Fukudome","OF","33","1","1000000","2011","411","183","32","133","218","17","362","0"
"Jonny Gomes","OF","30","1","1000000","2011","366","157","52","180","113","15","276","0"
"Gerald Laird","C","31","1","1000000","2011","252","82","10","70","67","9","171","0"
"Jack Wilson","SS","33","1","1000000","2011","245","79","5","64","38","9","195","0"
"John Buck","C","32","1","1000000","2013","355","109","43","160","132","2","259","0"
"Franklin Gutierrez","OF","29","1","1000000","2013","172","62","15","60","30","19","147","0"
"Kevin Frandsen","2B","31","1","1000000","2014","276","68","8","57","27","1","182","0"
"Justin Smoak","1B","27","1","1000000","2014","330","130","46","131","137","1","263","0"
"Chris Herrmann","C","31","1","1000000","2018","196","62","18","62","55","9","101","0"
"Adeiny Hechavarria","2B","30","1","1000000","2019","274","105","23","94","43","9","208","0"
"Guillermo Heredia","OF","29","1","1000000","2019","334","103","16","63","77","5","211","0"
"Jason Kipnis","2B","32","1","1000000","2019","358","160","47","175","128","20","312","0"
"Hernan Perez","2B","28","1","1000000","2019","353","112","31","98","48","29","245","0"
"Steven Souza Jr.","OF","30","1","1000000","2019","219","99","35","107","112","22","178","0"
"Willie Bloomquist","SS","32","1","900000","2010","273","115","7","55","61","47","211","0"
"Fred Lewis","OF","29","1","900000","2010","364","200","21","96","125","46","320","0"
"Luke Maile","C","29","1","900000","2019","157","41","7","43","36","4","87","0"
"Kevin Plawecki","C","28","1","900000","2019","173","57","13","60","54","1","111","0"
"Jorge Cantu","3B","28","1","850000","2010","429","209","56","251","116","9","464","0"
"Matt Treanor","C","33","1","850000","2010","141","40","7","50","41","2","99","0"
"Matt Treanor","C","34","1","850000","2011","148","46","8","49","57","3","92","0"
"Jesus Sucre","C","30","1","850000","2018","138","33","9","51","18","3","95","0"
"JT Riddle","SS","28","1","850000","2019","221","63","18","79","37","0","153","0"
"Mark Kotsay","OF","34","1","800000","2010","281","91","18","103","79","6","241","0"
"Mark DeRosa","2B","35","1","800000","2011","209","96","24","100","64","4","171","0"
"Adam Kennedy","3B","35","1","800000","2011","366","144","21","132","104","42","327","0"
"Brian Schneider","C","34","1","800000","2011","142","39","9","48","48","0","89","0"
"Ronald Torreyes","2B","26","1","800000","2018","205","64","4","55","23","4","160","0"
"Wil Nieves","C","32","1","775000","2010","192","45","5","62","38","1","136","0"
"Nick Punto","2B","32","1","750000","2010","306","123","4","86","121","37","238","0"
"Chris Snyder","C","30","1","750000","2011","197","67","24","87","101","0","125","0"
"Delmon Young","OF","26","1","750000","2012","427","185","51","250","71","6","450","0"
"Adam Rosales","SS","29","1","750000","2013","120","32","9","28","25","0","56","0"
"Dewayne Wise","OF","33","1","700000","2012","183","61","13","51","18","29","106","0"
"Tony Gwynn","OF","27","1","675000","2010","253","94","5","42","93","31","173","0"
"Terrance Gore","OF","27","1","650000","2018","43","13","0","0","1","19","1","0"
"Marco Hernandez","3B","27","1","650000","2019","81","25","2","13","4","1","53","0"
"Eli Whiteside","C","31","1","600000","2011","168","48","10","40","30","3","101","0"
"Troy Tulowitzki","SS","34","1","555000","2018","197","70","31","105","60","1","185","0"
